Ref,Val,Package,PosX,PosY,Rot,Side
"A1","ESP32-WROVER-I","XCVR_ESP32-WROVER-I",154.969200,-71.988600,180.000000,bottom
"AE1","NN02-201","ANT_NN02-201_IGN",167.990000,-87.190000,-90.000000,bottom
"C1","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.562600,-65.481200,90.000000,bottom
"C4","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.077900,-63.398400,180.000000,bottom
"C5","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.061200,-62.357000,180.000000,bottom
"C6","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.913300,-61.214000,0.000000,bottom
"C7","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.930700,-60.071000,0.000000,bottom
"C8","GRM31CR60J107KEA8L","GRM31x",168.362200,-63.652400,180.000000,bottom
"C9","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",167.440900,-61.087000,0.000000,bottom
"C10","C0603C102K5RALTU","C0603",167.602000,-69.367400,180.000000,bottom
"C11","C0603C102K5RALTU","C0603",134.505800,-79.857600,0.000000,bottom
"C12","C0603C102K5RALTU","C0603",130.225800,-77.101600,90.000000,bottom
"C13","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",202.387200,-87.680800,180.000000,bottom
"C14","22pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",199.415400,-86.029800,0.000000,bottom
"C21","CL21A226MAYNNNE","CAPC2012X145N",134.467600,-65.532000,90.000000,bottom
"D6","1N5819HW-7-F","SOD3715X145N",129.362200,-68.173600,180.000000,bottom
"IC1","CP2102N-A02-GQFN28","QFN50P500X500X80-29N-D",138.835000,-64.883800,0.000000,bottom
"J1","USB3140-30-0070-1-C_REVE1","GCT_USB3140-30-0070-1-C_REVE1",120.975800,-69.168800,90.000000,bottom
"J4","SIM8051-6-0-14-01-X-REVD","GCT_SIM8051-6-0-14-01-X-REVD",203.225400,-65.337400,90.000000,bottom
"Q1","SS8050-G","TRANS_SS8050-G",138.557000,-77.749400,180.000000,bottom
"Q2","SS8050-G","TRANS_SS8050-G",188.351200,-63.646400,-90.000000,bottom
"Q4","SS8050-G","TRANS_SS8050-G",133.864000,-73.776800,180.000000,bottom
"Q5","SS8050-G","TRANS_SS8050-G",188.341000,-67.564000,90.000000,bottom
"R3","ERJ-3RBD4700V","RESC1608X55N",136.626600,-69.621400,0.000000,bottom
"R4","RC0805JR-0712KL","RESC2012X60N",137.795000,-73.863200,180.000000,bottom
"R5","ERJ-PB3B5101V","RESC1608X55N",143.002000,-81.508600,0.000000,bottom
"R6","ERJ-PB3B5101V","RESC1608X55N",142.951200,-79.806800,0.000000,bottom
"R7","RC0805JR-0712KL","RESC2012X60N",134.543800,-76.784200,0.000000,bottom
"R9","ERJ-3RBD4700V","RESC1608X55N",138.760200,-80.416400,0.000000,bottom
"R10","ERJ-3RBD4700V","RESC1608X55N",130.352800,-73.736200,0.000000,bottom
"R16","RMC1_16K1002FTP","RESC1608X55N",170.065800,-76.022200,180.000000,bottom
"R17","10","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",200.075800,-91.440000,90.000000,bottom
